,samples,method,return,Dev. MF,Dev. Policy
0,6,PIAIRL,21.285002589797937,0.6476803922019314,0.45198110754540155
1,6,MFIRL,21.395126524945066,0.6521535847536059,0.31314841759520384
2,6,EXPERT,21.691489980170484,0.0,0.0
0,7,PIAIRL,21.308088108156927,0.8538078414066863,0.43683105163258545
1,7,MFIRL,21.47176272723733,0.2661628790482411,0.2403167490587722
2,7,EXPERT,21.691489980170484,0.0,0.0
0,8,PIAIRL,21.246244817293622,1.578487101877871,0.484941781677834
1,8,MFIRL,21.474700138832038,1.3940093977040584,0.22667147239705898
2,8,EXPERT,21.691489980170484,0.0,0.0
0,9,PIAIRL,21.2984186514437,1.1506167626300945,0.42004300472941297
1,9,MFIRL,21.250689692789532,0.5873246976232892,0.4786098240146051
2,9,EXPERT,21.691489980170484,0.0,0.0
0,10,PIAIRL,21.395214227374577,1.212377107177381,0.3051829958336919
1,10,MFIRL,21.405855126475334,0.5157112295425977,0.3030982702435236
2,10,EXPERT,21.691489980170484,0.0,0.0
0,1,PIAIRL,20.612751688372466,0.8081304506800934,1.1027881442173597
1,1,MFIRL,21.446721950493938,0.808150180930322,0.2678617415324707
2,1,EXPERT,21.691489980170484,0.0,0.0
0,2,PIAIRL,21.403366192939316,1.111623181871153,0.2916761364748171
1,2,MFIRL,21.27924925005598,1.1423972332702386,0.4498983611134847
2,2,EXPERT,21.691489980170484,0.0,0.0
0,3,PIAIRL,21.350123568138837,0.2688307039144555,0.3951037539702665
1,3,MFIRL,21.40243806252801,0.3559409000288711,0.3105566973091558
2,3,EXPERT,21.691489980170484,0.0,0.0
0,4,PIAIRL,21.14908987898404,1.1099687197782815,0.5939692782721774
1,4,MFIRL,21.388878697500573,0.6494281922779449,0.3345909106357559
2,4,EXPERT,21.691489980170484,0.0,0.0
0,5,PIAIRL,21.315992031632923,0.8618540840926194,0.4094747591053052
1,5,MFIRL,21.47909960420186,0.9318407251577858,0.21102522613909547
2,5,EXPERT,21.691489980170484,0.0,0.0
0,6,PIAIRL,21.360260139154423,0.9748206907342004,0.37035378425464827
