,samples,method,return,Dev. MF,Dev. Policy
2,10,EXPERT,12.810201607395484,0.0,0.0
0,11,PIAIRL,12.637294817257887,6.211852482843822,0.1964146265522026
1,11,MFIRL,12.884170811921603,6.254681538947162,0.07490826259414751
2,11,EXPERT,12.810201607395484,0.0,0.0
0,12,PIAIRL,12.79280948314925,10.583360203491683,0.04521693855324549
1,12,MFIRL,13.052807195257621,8.542360629900312,0.07762154184110084
2,12,EXPERT,12.810201607395484,0.0,0.0
0,13,PIAIRL,12.962644312471669,12.388150450176326,0.22409875811745827
1,13,MFIRL,12.724279105537503,6.709328786970419,0.1745947399512946
2,13,EXPERT,12.810201607395484,0.0,0.0
0,14,PIAIRL,12.953681379531437,6.944660175781373,0.044584930975175165
1,14,MFIRL,12.509066876136107,7.248489748333918,0.10061313269478
2,14,EXPERT,12.810201607395484,0.0,0.0
0,15,PIAIRL,13.025493227657876,6.715014916421255,0.08636509262997785
1,15,MFIRL,13.024848623677597,7.374781619200678,0.18943244058308198
2,15,EXPERT,12.810201607395484,0.0,0.0
